Nominal Composition,Product  Form,Spec. No.,"UNS
No.",100,150,200,250,300,400,500,600,650,700,750,800,850,900,950,1000,1050,1100,1150,1200,1250,1300,1350,1400,1450,1500,1550,1600,1650,,,
Carbon steel,Plate,SA-516-55,K01800  ,15700.00,15700.00,15700.00,#VALUE!,15700.00,15700.00,15700.00,15300.00,14800.00,14300.00,13000.00,10800.00,8700.00,5900.00,4000.00,2500.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
Carbon steel,Smls.  pipe,SA-524-II,K02104  ,15700.00,15700.00,15700.00,#VALUE!,15700.00,15700.00,15700.00,15300.00,14800.00,14300.00,13000.00,10800.00,8700.00,5900.00,4000.00,2500.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
Carbon steel,Wld.  pipe,SA-671-CA55,K02801  ,15700.00,#VALUE!,15700.00,#VALUE!,15700.00,15700.00,15700.00,15300.00,14800.00,14300.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
Carbon steel,Wld.  pipe,SA-671-CE55,K02202  ,15700.00,#VALUE!,15700.00,#VALUE!,15700.00,15700.00,15700.00,15300.00,14800.00,14300.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
Carbon steel,Wld.  pipe,SA-672-A55,K02801  ,15700.00,#VALUE!,15700.00,#VALUE!,15700.00,15700.00,15700.00,15300.00,14800.00,14300.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
Carbon steel,Wld.  pipe,SA-672-B55,K02001  ,15700.00,#VALUE!,15700.00,#VALUE!,15700.00,15700.00,15700.00,15300.00,14800.00,14300.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
Carbon steel,Wld.  pipe,SA-672-C55,K01800  ,15700.00,#VALUE!,15700.00,#VALUE!,15700.00,15700.00,15700.00,15300.00,14800.00,14300.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
Carbon steel,Wld.  pipe,SA-672-E55,K02202  ,15700.00,#VALUE!,15700.00,#VALUE!,15700.00,15700.00,15700.00,15300.00,14800.00,14300.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
Carbon steel,Sheet,SA-414-C,K02503  ,15700.00,15700.00,15700.00,#VALUE!,15700.00,15700.00,15700.00,15700.00,15700.00,15600.00,13000.00,10800.00,8700.00,5900.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
Carbon steel,Plate,SA/EN10028-3-P275NH,              ,16200.00,16200.00,16200.00,#VALUE!,16200.00,16200.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
Carbon steel,Bar,SA-36,K02600  ,16600.00,16600.00,16600.00,#VALUE!,16600.00,16600.00,16600.00,16600.00,16600.00,15600.00,13000.00,10800.00,8700.00,5900.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
Carbon steel,"Plate,  sheet",SA-36,K02600  ,16600.00,#VALUE!,16600.00,#VALUE!,16600.00,16600.00,16600.00,16600.00,16600.00,15600.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
Carbon steel,"Plate,  sheet",SA-662-A,K01701  ,16600.00,16600.00,16600.00,#VALUE!,16600.00,16600.00,16600.00,16600.00,16600.00,15600.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
Carbon steel,"Plate,  bar,  shapes",SA/IS2062-E250A,              ,17000.00,#VALUE!,17000.00,#VALUE!,17000.00,17000.00,17000.00,17000.00,16500.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
